evolution$generation,redCrossActivationDelayBonus,redCrossEfficiencyProbabilityBonus,redCrossExhaustionProbabilityBonus,obj1,improvementBudget,evolution$samples
11600,0.0,0.0,0.0,-175.0,0.0,100
11600,0.7640992945294255,0.9990633168021988,0.005366066072909163,-212.0,1.7685286774045335,100
11600,0.5059751158362193,0.9290721283451895,0.0,-219.0,1.4350472441814088,23
11600,0.5750294303021344,0.5108886940842686,2.2249510194149595E-4,-223.0,1.0861406194883443,2
11600,0.0,0.0,3.627110229891907E-100,-218.0,3.627110229891907E-100,1
11600,0.0,0.0,5.316902312604831E-91,-185.0,5.316902312604831E-91,59
11600,0.5880255185580605,0.8306259807403392,1.2376676596200782E-71,-207.0,1.4186514992983996,100
11600,0.5010136931022593,0.9711832269298665,9.466534122060122E-6,-211.0,1.472206386566248,32
11600,0.5357035464657749,0.4861214082085962,0.014247011686620896,-196.0,1.036071966360992,100
11600,0.502453619520598,0.0029670534624873512,7.494324868697269E-4,-186.5,0.5061701054699551,100
11600,0.0,0.0,3.587032980608155E-100,-188.0,3.587032980608155E-100,1
11600,0.0,0.0,1.2525914947643183E-98,-226.0,1.2525914947643183E-98,1
11600,0.557631467388025,0.0,0.0,-190.5,0.557631467388025,56
11600,0.0,0.0,4.841057507423672E-95,-179.0,4.841057507423672E-95,40
11600,0.0,0.0,1.8768621251536453E-45,-205.0,1.8768621251536453E-45,4
11600,0.5411070123594682,0.6308261980943052,0.005345087773349379,-203.5,1.1772782982271228,66
11600,0.513708556235875,0.8006487467812287,1.4390167995065943E-81,-202.5,1.3143573030171036,100
11600,0.5504755413808772,0.0,0.0,-208.5,0.5504755413808772,4
11600,0.5001383318014012,0.0,2.2395408136241022E-74,-179.5,0.5001383318014012,100
11600,0.0,0.0,1.8097641272331196E-99,-192.0,1.8097641272331196E-99,9
11600,0.5059036315823674,0.9756764782031067,5.365145944369088E-44,-209.5,1.4815801097854742,100
11600,0.512398360795965,5.2166005574375795E-5,5.156988294150498E-6,-187.0,0.5124556837898335,100
11600,0.5138604760916163,0.4701119961886888,1.364644826504234E-90,-195.0,0.9839724722803052,100
11600,0.5278248166162226,0.5207376034653549,1.980907980294839E-10,-209.0,1.0485624202796684,17
11600,0.512210541814344,0.48912521303014883,0.0,-201.5,1.0013357548444928,84
11600,0.5195180584575271,0.5332823634168373,1.953358881756995E-10,-200.5,1.0528004220697003,100
11600,0.5021627507419457,0.002466814368545033,7.501129964307676E-4,-183.0,0.5053796781069215,100
11600,0.0,0.0,1.4044663849657138E-98,-176.5,1.4044663849657138E-98,26
11600,0.0,0.0,1.3017214208220437E-96,-181.5,1.3017214208220437E-96,36
11600,0.0,0.0,5.181058812761333E-94,-213.5,5.181058812761333E-94,2
11600,0.0,0.0,8.125078502561656E-89,-177.5,8.125078502561656E-89,100
11600,0.0,0.0,8.724980248403032E-100,-194.5,8.724980248403032E-100,2
11600,0.0,0.0,4.724494728414121E-95,-202.5,4.724494728414121E-95,2
11600,0.5002651631438199,0.002294352647304412,0.12045494387288941,-190.0,0.6230144596640137,100
11600,0.0,0.0,3.5074585304050957E-99,-193.0,3.5074585304050957E-99,3
11600,0.5552346425837671,1.0,3.3558561958165454E-4,-210.0,1.5555702282033488,63
11600,0.5153979671868045,0.4529540719960437,2.6309378480895453E-95,-203.0,0.9683520391828482,16
11600,0.5342346202629542,0.40556380770920686,0.013978264912303709,-198.5,0.9537766928844648,34
11600,0.0,0.0,1.7262152801859958E-97,-199.0,1.7262152801859958E-97,10
11600,0.5126556418471124,0.4523363535214072,2.7091355240051017E-95,-212.0,0.9649919953685197,3
11600,0.5133522449737321,0.4769080511593666,0.0,-230.0,0.9902602961330986,1
11600,0.0,0.0,1.5076802319662925E-98,-198.0,1.5076802319662925E-98,14
11600,0.5666008004491847,0.5212647350601048,8.177193421233449E-4,-223.0,1.088683254851413,3
11600,0.565751587383614,0.47443435275288026,0.014652163526596018,-202.0,1.05483810366309,36
11600,0.0,0.0,1.944975840985352E-98,-177.0,1.944975840985352E-98,20
11600,0.0,0.0,4.3429710662994336E-100,-179.0,4.3429710662994336E-100,17
11600,0.5096205162972064,0.0,1.2867374770574413E-4,-194.0,0.5097491900449121,33
11600,0.5264255781205136,0.9742097901683128,1.142036892755269E-44,-210.0,1.5006353682888265,34
11600,0.5003708755618742,0.0,0.0,-188.0,0.5003708755618742,82
11600,0.0,0.0,6.30820421573561E-94,-177.0,6.30820421573561E-94,73
11600,0.5023681186953316,0.0,0.0,-229.0,0.5023681186953316,1
11600,0.0,0.0,1.0260420165000258E-94,-180.0,1.0260420165000258E-94,58
11600,0.0,0.0,3.864525117124161E-97,-176.0,3.864525117124161E-97,61
11600,0.0,0.0,9.992124391709576E-93,-176.5,9.992124391709576E-93,100
11600,0.0,0.0,6.548334070375089E-94,-228.0,6.548334070375089E-94,1
11600,0.0,0.0,2.80618105387142E-98,-179.0,2.80618105387142E-98,27
11600,0.0,0.0,9.356481910204794E-99,-195.0,9.356481910204794E-99,2
11600,0.0,0.0,6.444059340996425E-99,-187.0,6.444059340996425E-99,11
11600,0.0,0.0,4.84671597277039E-100,-190.0,4.84671597277039E-100,2
