seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,250,4,0,0,0,0,0,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,248,6,0,0,2,33,45,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,245,8,1,0,2,40,70,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,234,9,10,0,1,53,83,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,213,12,18,0,3,86,104,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,187,17,21,0,5,115,142,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,162,24,18,0,7,129,200,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,151,28,7,0,4,172,248,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,145,32,1,1,5,186,297,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,133,39,5,0,7,162,358,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,115,48,9,0,9,172,437,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,102,54,5,2,8,94,439,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,87,59,10,0,5,90,392,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,77,68,1,0,9,120,465,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,73,72,0,0,4,163,448,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,61,83,0,1,12,185,540,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,52,92,0,0,9,173,646,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,40,104,0,0,12,114,722,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,30,110,2,2,8,52,520,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,28,111,1,0,1,31,314,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,24,111,4,0,0,46,223,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,22,111,1,1,1,41,301,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,21,112,0,0,1,25,231,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,18,115,0,0,3,24,173,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,13,120,0,0,5,24,175,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,13,120,0,0,0,11,136,0,0
-6161533326126908802,1000,250,4,20,4,0.95,0.6,1.0,135,18,2,115,115,2583,0,130,9220,55,12,120,0,1,1,53,187,0,0
