seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
4670016813424309470,1000,250,4,0,4,1.0,0.6,1.0,57,0,0,57,193,951,0,60,3191,74
-277805204063359402,1000,250,4,0,4,1.0,0.6,1.0,39,0,0,39,211,811,0,43,2552,63
-8431617331434852863,1000,250,4,0,4,1.0,0.6,1.0,151,0,0,151,99,2655,0,153,8345,72
2695760937935242274,1000,250,4,0,4,1.0,0.6,1.0,104,0,0,104,146,2076,0,107,7014,72
-7199709234620653375,1000,250,4,0,4,1.0,0.6,1.0,57,0,0,57,193,923,0,60,3166,105
-1091677031544238996,1000,250,4,0,4,1.0,0.6,1.0,88,0,0,88,162,1375,0,89,7191,71
8190413868853382001,1000,250,4,0,4,1.0,0.6,1.0,118,0,0,118,132,2499,0,122,8325,111
-8207704520242285143,1000,250,4,0,4,1.0,0.6,1.0,122,0,0,122,128,2366,0,126,7552,73
2560785702035217087,1000,250,4,0,4,1.0,0.6,1.0,80,0,0,80,170,1296,0,84,5694,78
3088125779772815434,1000,250,4,0,4,1.0,0.6,1.0,172,0,0,172,78,3116,0,176,11616,67
2979666321861280586,1000,250,4,0,4,1.0,0.6,1.0,71,0,0,71,179,1258,0,75,4901,71
-1103619130341977851,1000,250,4,0,4,1.0,0.6,1.0,135,0,0,135,115,2557,0,138,8870,69
6213652426301858533,1000,250,4,0,4,1.0,0.6,1.0,66,0,0,66,184,1452,0,69,5936,69
9104263849266606238,1000,250,4,0,4,1.0,0.6,1.0,104,0,0,104,146,2122,0,107,6608,70
6228613668800353036,1000,250,4,0,4,1.0,0.6,1.0,146,0,0,146,104,2889,0,148,7739,56
10526157822642315,1000,250,4,0,4,1.0,0.6,1.0,144,0,0,144,106,2757,0,144,12799,60
631229983687439646,1000,250,4,0,4,1.0,0.6,1.0,126,0,0,126,124,2272,0,126,9072,69
1781457654785920238,1000,250,4,0,4,1.0,0.6,1.0,83,0,0,83,167,1487,0,87,8283,101
-4674140954118275635,1000,250,4,0,4,1.0,0.6,1.0,109,0,0,109,141,2060,0,112,8820,90
3895323087085797891,1000,250,4,0,4,1.0,0.6,1.0,100,0,0,100,150,1747,0,100,5340,63
7442968316833683117,1000,250,4,0,4,1.0,0.6,1.0,74,0,0,74,176,1414,0,76,4358,68
-8155123440850031589,1000,250,4,0,4,1.0,0.6,1.0,107,0,0,107,143,2378,0,110,10494,82
3674632197413570358,1000,250,4,0,4,1.0,0.6,1.0,173,0,0,173,77,3291,0,174,9632,67
-5792566188652999013,1000,250,4,0,4,1.0,0.6,1.0,165,0,0,165,85,3351,0,164,12244,62
6712291131696258881,1000,250,4,0,4,1.0,0.6,1.0,145,0,0,145,105,2655,0,146,8246,62
-3787065659085259101,1000,250,4,0,4,1.0,0.6,1.0,170,0,0,170,80,3259,0,174,11324,72
-680769377505281271,1000,250,4,0,4,1.0,0.6,1.0,80,0,0,80,170,1371,0,83,5488,64
7151121201635520104,1000,250,4,0,4,1.0,0.6,1.0,75,0,0,75,175,1337,0,78,6332,64
7958018491972924608,1000,250,4,0,4,1.0,0.6,1.0,125,0,0,125,125,2390,0,128,8002,69
