seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
-2979424820786772543,1000,250,4,20,4,0.95,0.6,1.0,166,16,4,146,84,3174,0,154,12690,69
2658474545655148373,1000,250,4,20,4,0.95,0.6,1.0,61,15,5,41,189,1008,0,62,4208,67
2079585401352107055,1000,250,4,20,4,0.95,0.6,1.0,112,20,0,92,138,1852,0,108,6640,76
-7759182943144209557,1000,250,4,20,4,0.95,0.6,1.0,139,16,4,119,111,2817,0,136,9183,69
-8326671238011074305,1000,250,4,20,4,0.95,0.6,1.0,83,17,3,63,167,1252,0,75,6871,98
-2492772738497937315,1000,250,4,20,4,0.95,0.6,1.0,98,19,1,78,152,1908,0,96,4919,55
6089505021326474269,1000,250,4,20,4,0.95,0.6,1.0,110,13,7,90,140,1767,0,109,8207,87
1901779200114648796,1000,250,4,20,4,0.95,0.6,1.0,113,15,5,93,137,1703,0,106,6931,57
-1205530040730767641,1000,250,4,20,4,0.95,0.6,1.0,133,17,3,113,117,2538,0,107,10550,65
4312985969579428319,1000,250,4,20,4,0.95,0.6,1.0,108,17,3,88,142,1635,0,93,5486,90
558367206811410410,1000,250,4,20,4,0.95,0.6,1.0,96,16,4,76,154,1690,0,84,6292,79
509470343980030467,1000,250,4,20,4,0.95,0.6,1.0,47,20,0,27,203,555,0,42,2797,61
4964423054735771752,1000,250,4,20,4,0.95,0.6,1.0,105,17,3,85,145,1886,0,101,6731,129
-5041725897713335153,1000,250,4,20,4,0.95,0.6,1.0,58,20,0,38,192,845,0,53,4046,72
-9027257013253030116,1000,250,4,20,4,0.95,0.6,1.0,110,14,6,90,140,1886,0,107,6608,71
279705445534435867,1000,250,4,20,4,0.95,0.6,1.0,138,16,4,118,112,2437,0,138,13575,90
3590054837371074244,1000,250,4,20,4,0.95,0.6,1.0,70,20,0,50,180,1323,0,58,6954,97
6582618857096718325,1000,250,4,20,4,0.95,0.6,1.0,133,12,8,113,117,2244,0,129,8339,83
-129755264887534756,1000,250,4,20,4,0.95,0.6,1.0,102,16,4,82,148,1999,0,98,7045,86
-106803251963463559,1000,250,4,20,4,0.95,0.6,1.0,58,19,1,38,192,1304,0,57,2939,60
-2631684863449753271,1000,250,4,20,4,0.95,0.6,1.0,113,18,2,93,137,2170,0,104,9522,92
-1959156045068302379,1000,250,4,20,4,0.95,0.6,1.0,79,19,1,59,171,1309,0,71,6986,84
1002785990672324224,1000,250,4,20,4,0.95,0.6,1.0,49,18,2,29,201,578,0,40,2476,73
-1252464680359728237,1000,250,4,20,4,0.95,0.6,1.0,119,14,6,99,131,2665,0,112,8265,67
-8429440920234712200,1000,250,4,20,4,0.95,0.6,1.0,45,19,1,25,205,530,0,26,4742,85
7167263234852284603,1000,250,4,20,4,0.95,0.6,1.0,80,17,3,60,170,1756,0,78,6052,59
-695204533300605727,1000,250,4,20,4,0.95,0.6,1.0,60,17,3,40,190,540,0,54,3247,71
-50498812407125752,1000,250,4,20,4,0.95,0.6,1.0,156,13,7,136,94,3274,0,147,12995,64
-141238852460148327,1000,250,4,20,4,0.95,0.6,1.0,150,16,4,130,100,2678,0,138,10013,61
3485827946326252193,1000,250,4,20,4,0.95,0.6,1.0,72,19,1,52,178,1234,0,67,4888,85
-3490317088267680122,1000,250,4,20,4,0.95,0.6,1.0,71,16,4,51,179,988,0,70,4957,80
3733204175494202953,1000,250,4,20,4,0.95,0.6,1.0,64,17,3,44,186,941,0,58,4597,69
-8957887314108344275,1000,250,4,20,4,0.95,0.6,1.0,141,18,2,121,109,2969,0,131,11307,61
7717722840588060127,1000,250,4,20,4,0.95,0.6,1.0,75,12,8,55,175,1145,0,67,5007,60
-665355826619921003,1000,250,4,20,4,0.95,0.6,1.0,111,14,6,91,139,2015,0,99,9429,74
-237098054140567348,1000,250,4,20,4,0.95,0.6,1.0,160,16,4,140,90,3220,0,144,13137,71
7775046889182976928,1000,250,4,20,4,0.95,0.6,1.0,162,19,1,142,88,3619,0,156,9314,69
-4153216168339585879,1000,250,4,20,4,0.95,0.6,1.0,107,18,2,87,143,1771,0,101,10306,101
-7947331383713656411,1000,250,4,20,4,0.95,0.6,1.0,141,17,3,121,109,2576,0,122,9869,60
3778885223889765736,1000,250,4,20,4,0.95,0.6,1.0,92,16,4,72,158,1115,0,88,5874,74
-6678012943308873750,1000,250,4,20,4,0.95,0.6,1.0,115,17,3,95,135,1793,0,107,7872,76
-2256187090014772227,1000,250,4,20,4,0.95,0.6,1.0,62,19,1,42,188,776,0,57,4357,77
-8690707571516901446,1000,250,4,20,4,0.95,0.6,1.0,89,18,2,69,161,1702,0,76,9681,99
7433384527960354550,1000,250,4,20,4,0.95,0.6,1.0,100,17,3,80,150,1550,0,82,8467,63
-4234542000700699917,1000,250,4,20,4,0.95,0.6,1.0,94,15,5,74,156,1752,0,85,6631,101
-2554327528974209796,1000,250,4,20,4,0.95,0.6,1.0,106,19,1,86,144,1686,0,96,8223,71
-1445099706010761438,1000,250,4,20,4,0.95,0.6,1.0,92,17,3,72,158,1767,0,76,6837,64
5056298197494505265,1000,250,4,20,4,0.95,0.6,1.0,67,17,3,47,183,972,0,63,6379,66
2216918059533513807,1000,250,4,20,4,0.95,0.6,1.0,107,16,4,87,143,2154,0,89,7607,68
963556650157912499,1000,250,4,20,4,0.95,0.6,1.0,96,18,2,76,154,1555,0,85,6607,71
4605336876779226005,1000,250,4,20,4,0.95,0.6,1.0,82,19,1,62,168,1228,0,75,7266,65
-9117822624186938766,1000,250,4,20,4,0.95,0.6,1.0,115,16,4,95,135,1716,0,109,7382,62
-5816116909635946555,1000,250,4,20,4,0.95,0.6,1.0,95,15,5,75,155,1432,0,88,8376,83
-3859834863168124750,1000,250,4,20,4,0.95,0.6,1.0,58,17,3,38,192,793,0,49,4452,64
9019766622440464449,1000,250,4,20,4,0.95,0.6,1.0,161,17,3,141,89,2881,0,151,11514,84
8505436102741231961,1000,250,4,20,4,0.95,0.6,1.0,79,14,6,59,171,1058,0,73,6846,83
-1061952108659066695,1000,250,4,20,4,0.95,0.6,1.0,56,19,1,36,194,663,0,49,4391,69
4081457953659010097,1000,250,4,20,4,0.95,0.6,1.0,85,18,2,65,165,1129,0,80,6532,63
6574687355465217482,1000,250,4,20,4,0.95,0.6,1.0,168,12,8,148,82,2723,0,163,10739,65
-1498202665738351555,1000,250,4,20,4,0.95,0.6,1.0,128,16,4,108,122,2916,0,113,9382,77
-3563812623855255090,1000,250,4,20,4,0.95,0.6,1.0,96,15,5,76,154,1856,0,83,6442,76
-6556448746250916201,1000,250,4,20,4,0.95,0.6,1.0,82,16,4,62,168,1166,0,73,5897,65
-4060980225250653224,1000,250,4,20,4,0.95,0.6,1.0,84,14,6,64,166,1263,0,77,6446,75
-1023697155077863402,1000,250,4,20,4,0.95,0.6,1.0,128,18,2,108,122,2350,0,118,9649,74
-903759379907557337,1000,250,4,20,4,0.95,0.6,1.0,67,19,1,47,183,853,0,62,3889,82
-6127679572089200445,1000,250,4,20,4,0.95,0.6,1.0,114,14,6,94,136,1766,0,108,8985,65
653599570077024578,1000,250,4,20,4,0.95,0.6,1.0,70,16,4,50,180,1215,0,66,6989,79
6392523392569934950,1000,250,4,20,4,0.95,0.6,1.0,122,17,3,102,128,1631,0,116,8777,112
9036592996998938949,1000,250,4,20,4,0.95,0.6,1.0,70,16,4,50,180,1231,0,71,5678,86
6551107083049318534,1000,250,4,20,4,0.95,0.6,1.0,62,16,4,42,188,709,0,57,3682,84
8538905932175627320,1000,250,4,20,4,0.95,0.6,1.0,54,17,3,34,196,721,0,46,4863,71
-3623471213376911500,1000,250,4,20,4,0.95,0.6,1.0,67,15,5,47,183,1119,0,63,4033,120
-8839910702714519882,1000,250,4,20,4,0.95,0.6,1.0,57,16,4,37,193,734,0,51,3822,87
-2069661097098619825,1000,250,4,20,4,0.95,0.6,1.0,80,17,3,60,170,1488,0,73,5881,85
1340483158113925882,1000,250,4,20,4,0.95,0.6,1.0,43,17,3,23,207,400,0,39,3241,79
-7730080222554634026,1000,250,4,20,4,0.95,0.6,1.0,80,16,4,60,170,1691,0,71,6266,78
-8081315055523970422,1000,250,4,20,4,0.95,0.6,1.0,53,20,0,33,197,745,0,49,2729,82
4551057737412034336,1000,250,4,20,4,0.95,0.6,1.0,88,17,3,68,162,1574,0,87,5967,79
