seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued
-891153777394544539,1000,250,4,20,4,1.0,0.6,1.0,28,0,1,27,203,636,19,0,5637,84
-7398349316431421979,1000,250,4,20,4,1.0,0.6,1.0,38,0,1,37,193,1012,19,0,5602,103
8467561196688259065,1000,250,4,20,4,1.0,0.6,1.0,82,0,1,81,149,2621,19,0,13600,91
7662736656357683095,1000,250,4,20,4,1.0,0.6,1.0,19,0,1,18,212,682,19,0,2257,64
-88043535257172589,1000,250,4,20,4,1.0,0.6,1.0,27,0,3,24,206,1106,17,0,3449,88
-3871582286461992377,1000,250,4,20,4,1.0,0.6,1.0,43,0,4,39,190,1294,17,0,8135,136
2668643880697232704,1000,250,4,20,4,1.0,0.6,1.0,118,0,3,115,115,3308,17,0,15754,130
3147249611251969189,1000,250,4,20,4,1.0,0.6,1.0,94,0,4,90,140,2123,16,0,12060,74
-6641944707375206360,1000,250,4,20,4,1.0,0.6,1.0,60,0,5,55,175,1515,15,1,9731,62
6706162327693640642,1000,250,4,20,4,1.0,0.6,1.0,31,0,3,28,202,1167,17,1,5303,68
-6600920849919397573,1000,250,4,20,4,1.0,0.6,1.0,54,0,4,50,180,1308,16,0,7689,85
-156849683254481170,1000,250,4,20,4,1.0,0.6,1.0,10,0,2,8,222,192,18,0,2063,77
-4034665366399515820,1000,250,4,20,4,1.0,0.6,1.0,17,0,4,13,217,820,16,0,2746,65
553185839473032679,1000,250,4,20,4,1.0,0.6,1.0,75,0,4,71,159,2205,16,0,9419,73
5370006583976072337,1000,250,4,20,4,1.0,0.6,1.0,35,0,2,33,197,953,18,0,6050,67
3487273521521559536,1000,250,4,20,4,1.0,0.6,1.0,108,0,3,105,125,5392,17,5,16330,112
2688401096065309980,1000,250,4,20,4,1.0,0.6,1.0,13,0,2,11,219,639,18,0,1654,81
-2831000154822430751,1000,250,4,20,4,1.0,0.6,1.0,16,0,0,16,214,578,20,0,2941,80
3898505999395388617,1000,250,4,20,4,1.0,0.6,1.0,101,0,4,97,133,2388,16,0,15916,93
-190391562347183538,1000,250,4,20,4,1.0,0.6,1.0,50,0,4,46,184,1022,16,0,8410,137
-869129383570186999,1000,250,4,20,4,1.0,0.6,1.0,95,0,4,91,139,2897,16,0,14018,81
-6340953935388540126,1000,250,4,20,4,1.0,0.6,1.0,63,0,3,60,170,2311,17,0,9617,81
-7052526476333830167,1000,250,4,20,4,1.0,0.6,1.0,93,0,0,93,137,2208,20,0,13749,62
-6822928075758480796,1000,250,4,20,4,1.0,0.6,1.0,43,0,5,38,192,901,15,0,9262,80
-3098691458406402976,1000,250,4,20,4,1.0,0.6,1.0,94,0,1,93,137,1871,19,0,11688,144
3430395795295072247,1000,250,4,20,4,1.0,0.6,1.0,49,0,3,46,184,1292,17,0,6491,86
7486747901300134677,1000,250,4,20,4,1.0,0.6,1.0,44,0,3,41,189,908,17,0,5452,78
3873097956674023242,1000,250,4,20,4,1.0,0.6,1.0,92,0,5,87,143,5302,15,0,13572,144
8454211518254111669,1000,250,4,20,4,1.0,0.6,1.0,21,0,3,18,212,446,17,0,4283,73
3144563465560143466,1000,250,4,20,4,1.0,0.6,1.0,66,0,5,61,169,1492,15,0,12971,66
-5177827613188930016,1000,250,4,20,4,1.0,0.6,1.0,80,0,4,76,154,1777,16,0,11336,60
8479544316161494989,1000,250,4,20,4,1.0,0.6,1.0,104,0,3,101,129,2145,17,0,18190,60
3117235815309112198,1000,250,4,20,4,1.0,0.6,1.0,83,0,3,80,150,1431,17,1,13711,79
-7215979214183236679,1000,250,4,20,4,1.0,0.6,1.0,35,0,3,32,198,1447,17,0,4564,76
180869506206891565,1000,250,4,20,4,1.0,0.6,1.0,73,0,7,66,164,1298,13,2,9436,61
-482060567031180949,1000,250,4,20,4,1.0,0.6,1.0,9,0,2,7,223,577,18,0,1343,81
-4076166543631285007,1000,250,4,20,4,1.0,0.6,1.0,19,0,3,16,214,585,17,0,2749,141
-6356140314925572476,1000,250,4,20,4,1.0,0.6,1.0,37,0,0,37,193,1549,20,0,6531,107
2162166234269150414,1000,250,4,20,4,1.0,0.6,1.0,86,0,2,84,146,2260,18,0,11170,77
7401511353716668989,1000,250,4,20,4,1.0,0.6,1.0,37,0,3,34,196,902,17,0,7926,94
907586074959362383,1000,250,4,20,4,1.0,0.6,1.0,127,0,2,125,105,2709,18,0,19456,48
-2415256915046944651,1000,250,4,20,4,1.0,0.6,1.0,40,0,1,39,191,1101,19,0,5857,69
-1991955147324757730,1000,250,4,20,4,1.0,0.6,1.0,76,0,3,73,157,1760,17,0,12326,75
6690095575665417709,1000,250,4,20,4,1.0,0.6,1.0,18,0,1,17,213,872,19,0,2496,93
-4608882928822392886,1000,250,4,20,4,1.0,0.6,1.0,4,0,1,3,227,415,19,0,1001,105
-7398987203357820214,1000,250,4,20,4,1.0,0.6,1.0,96,0,7,89,141,2059,13,0,18312,70
-3352993267618435018,1000,250,4,20,4,1.0,0.6,1.0,34,0,2,32,198,1041,18,0,5166,98
2276021286862027778,1000,250,4,20,4,1.0,0.6,1.0,19,0,2,17,213,632,18,0,3194,81
6526099482501553653,1000,250,4,20,4,1.0,0.6,1.0,29,0,2,27,203,1341,18,0,5088,86
4090089596178493486,1000,250,4,20,4,1.0,0.6,1.0,38,0,3,35,195,1209,17,0,6540,96
-3248083485784181077,1000,250,4,20,4,1.0,0.6,1.0,73,0,2,71,159,1595,18,0,12873,90
2300501223336619667,1000,250,4,20,4,1.0,0.6,1.0,103,0,9,94,136,1631,11,3,13140,93
5594294194534181644,1000,250,4,20,4,1.0,0.6,1.0,126,0,2,124,106,2991,18,0,19382,66
-4829441941469676433,1000,250,4,20,4,1.0,0.6,1.0,99,0,3,96,134,2626,17,0,18545,86
1615765274779583596,1000,250,4,20,4,1.0,0.6,1.0,21,0,1,20,210,895,19,0,3390,72
585365430088580762,1000,250,4,20,4,1.0,0.6,1.0,128,0,5,123,107,2730,15,0,18900,79
