evolution$generation,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,zombies,halfRescued,rescued,pursued,evolution$samples
5300,21,10,0.9839436861300768,0.9180557543076562,50.0,57.0,175.0,9054.0,1
5300,6,3,1.0,0.731329555934676,37.0,70.0,95.0,21024.0,1
5300,68,8,1.0,0.985506046448853,0.0,76.0,98.0,11212.0,1
5300,3,10,1.0,0.5579972038082486,14.0,80.0,92.0,29637.0,1
5300,3,6,0.9869209544278977,0.45,52.0,76.0,200.0,5272.0,1
5300,63,8,0.9999749618334091,0.5770982142984318,0.0,59.0,142.0,6880.0,1
5300,28,4,0.9895659583414225,1.0,17.0,72.0,182.0,7094.5,2
5300,17,5,0.8132463246003767,0.9925798410096285,125.0,103.0,127.0,11680.0,1
5300,62,9,0.9742528187588908,0.6960208319817592,66.0,115.0,126.0,12532.0,3
5300,66,10,0.968957585968745,0.9261030684274758,80.5,121.5,116.5,14332.0,2
5300,14,6,0.941120224009117,0.6502342293171994,163.0,63.0,82.0,15032.0,1
5300,4,6,0.9949170602158525,0.755637967716838,32.0,57.0,179.0,12634.0,1
5300,76,2,0.9678015111545561,0.8102820545475128,61.0,66.0,146.0,6033.0,1
5300,76,8,0.9021683220330137,0.9647679430660285,165.0,91.0,70.0,11672.0,1
5300,80,0,0.9412855037139305,0.8837709977146184,62.0,58.0,138.0,8320.0,1
5300,21,0,0.9844307537758706,0.9241096256518473,61.0,121.0,117.0,17071.0,1
5300,56,4,0.9582906568495849,0.6519173005526835,75.0,125.0,119.0,13277.0,3
5300,48,9,1.0,0.8574351231567996,0.0,99.0,120.5,10542.5,4
5300,2,7,0.999248103831611,0.9428239241030166,147.0,62.0,92.0,16211.0,1
5300,63,5,0.817700971597894,0.5053070155552064,159.0,107.0,87.0,9225.0,1
5300,34,8,0.9889596609809123,0.8432828450742107,1.0,110.0,190.0,5338.0,1
5300,29,10,1.0,0.6927577759422325,0.0,55.0,143.0,15253.0,1
5300,61,10,0.998127947455499,0.49630650142989635,0.0,89.5,140.0,8095.5,8
5300,7,4,1.0,0.7939914209801369,9.0,59.0,131.0,22705.0,1
5300,71,7,0.9862280432896182,0.5450382380629842,21.0,97.0,132.0,10371.0,2
5300,10,2,1.0,0.5331009409016265,2.5,81.0,164.0,13934.0,4
5300,18,9,1.0,0.8280134855723759,0.0,110.0,140.0,19586.0,1
5300,18,4,0.9890033067825396,1.0,95.0,90.0,65.0,19411.0,1
5300,62,7,0.9855409303525597,0.5835898829826582,43.0,69.0,117.0,13119.0,5
5300,22,4,0.9902620033676157,0.8444342682766913,80.0,71.5,95.5,18372.0,2
5300,76,5,0.9903311137011137,1.0,14.0,166.0,99.0,16664.0,2
5300,1,1,0.9611283670111683,0.8247869617563203,77.0,61.0,176.0,6634.0,3
5300,27,8,0.9811578950764097,0.9899733455579443,110.0,59.0,108.0,13285.0,1
5300,10,9,0.8389628388640734,1.0,152.0,57.0,100.0,14639.0,1
5300,71,4,0.9966842364666701,0.9232640645087871,0.0,86.0,119.0,7266.0,1
5300,17,6,0.8549759849276339,0.8496587979399868,118.5,61.5,128.0,10604.0,4
5300,2,4,0.8127797508658485,0.6747925210031285,201.0,69.0,51.0,12439.0,1
5300,36,1,0.9928779513571797,0.8732372409227532,0.0,59.5,186.0,5487.0,2
5300,79,4,0.9696887976135815,0.9604273888725767,35.0,91.5,147.5,10740.5,6
5300,59,4,0.8,0.961530351535371,155.5,60.0,88.0,11358.0,2
5300,5,5,1.0,0.8723266723231238,24.5,74.0,133.5,24226.0,2
5300,11,9,0.9926260962527318,1.0,70.0,111.0,127.0,17495.0,1
5300,3,5,0.9918512575693464,0.7768057340935879,102.0,55.5,118.5,12827.0,2
5300,71,0,0.9081344719385941,0.6138005038834362,92.0,103.0,134.0,8607.0,5
5300,52,10,0.8489064464575672,0.5291921532608052,132.0,126.0,114.0,8471.0,1
5300,1,5,0.9993915320578928,0.6764293313459542,105.0,70.0,127.0,13525.0,1
5300,5,3,0.9999988192626308,0.45,55.0,62.0,66.0,25480.0,1
5300,1,1,1.0,0.999413562525991,57.0,100.0,156.0,10813.0,1
5300,6,6,1.0,1.0,1.0,122.0,203.0,10682.0,1
5300,4,1,1.0,0.8114108040602107,3.0,53.0,115.0,24965.0,1
5300,11,2,0.9999999614125066,0.6912333843536408,1.0,58.0,151.0,18074.0,1
5300,8,10,1.0,0.6901642265532327,5.0,73.0,124.0,21035.0,3
5300,3,7,0.8506461645190541,0.9786773057190237,196.0,72.0,55.0,16605.0,1
5300,1,2,0.9682921322083327,0.5391544384406379,75.0,75.0,178.0,3942.0,1
5300,12,9,0.9998679845069514,0.8112722091104272,1.0,86.0,161.0,13434.0,3
5300,59,1,0.8396617724926125,0.8428232678280295,72.0,123.0,171.0,4543.0,1
5300,0,5,0.9718054759248413,0.47346564613794545,129.0,57.0,125.0,9758.0,1
5300,53,2,0.9459877344761565,0.6923633711140287,83.0,67.0,146.0,7641.0,1
5300,63,8,0.9189745213695324,0.5319063070419933,91.5,94.0,147.0,6001.5,2
5300,65,5,0.8716009193334452,0.9511037982717705,134.5,106.5,101.0,10810.5,4
5300,4,4,0.8,0.5246769529634254,149.0,109.0,100.0,14771.0,1
5300,55,0,0.9215733579863072,0.962722099962418,83.5,120.0,152.5,6706.5,2
5300,13,9,0.9972448289474025,0.9817236647986258,3.0,95.0,120.0,16497.0,1
5300,76,7,1.0,1.0,0.0,97.5,157.5,2942.5,10
5300,72,9,0.9743203972588128,0.4739222915771064,35.0,73.0,121.0,12319.0,1
5300,3,6,0.9999397021637747,0.9385887878910054,52.0,78.5,93.5,22865.5,8
5300,5,9,0.9999787240276188,0.6492502690050401,62.0,75.0,60.0,28824.0,1
5300,22,0,0.9694485918884803,0.7896752488473202,32.0,84.0,209.0,2490.0,3
5300,76,8,1.0,0.5246766215730903,0.0,161.0,157.0,2276.0,1
5300,56,9,0.9346968940459565,0.6719477418295374,52.0,140.0,173.0,9039.0,1
5300,75,8,1.0,0.6832873299540694,0.0,130.0,96.0,11316.0,1
5300,29,8,1.0,0.840976402336802,0.0,62.0,138.0,14224.0,3
5300,48,4,0.8017269072389648,0.49927246103458994,132.5,59.0,115.0,9758.5,6
5300,34,9,0.9184844787049533,0.45,97.0,71.0,147.0,4670.0,1
5300,4,6,0.9939267548593744,0.537314516705546,44.0,88.0,201.0,6624.0,3
5300,57,4,1.0,0.6886466804874781,0.0,74.0,120.0,7797.0,1
5300,63,8,0.9450888993145988,0.6227520144859471,83.0,114.5,125.0,10925.0,2
5300,6,8,0.9967780567248214,0.4883178304149862,51.0,99.0,154.0,13453.0,1
5300,9,7,1.0,0.8117656232939352,0.0,109.0,177.0,12692.0,1
5300,80,5,1.0,0.8609081323238701,0.0,100.0,142.5,2875.5,2
5300,27,9,0.982387834996908,0.9959245034921542,77.0,55.5,149.0,9234.5,2
5300,35,10,0.8356834589214882,0.5142937747697636,76.0,56.0,174.0,2891.0,1
5300,80,9,0.979393777827006,0.872490386231344,62.0,79.0,97.0,17477.0,3
5300,3,8,1.0,0.6671880639749791,26.0,114.0,177.0,13534.0,1
5300,35,2,0.9897067352179083,0.4756298362279282,39.5,113.5,115.5,16351.0,2
5300,1,10,1.0,0.9509219721937114,79.0,77.0,145.0,13085.0,1
5300,32,8,0.9442409418177642,0.7474271812250655,160.0,62.0,53.0,16914.0,1
5300,2,3,1.0,0.8027977290288072,42.0,85.0,112.0,24453.0,5
5300,66,9,0.823525739875677,0.5486940330555039,203.0,82.0,42.0,15780.0,1
