seed,steps,humanSize,zombiesSize,redCrossSize,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,redCrossInformProbability,zombified,zombifiedAntidotersActivated,zombifiedAntidotersNoActivated,zombifiedNoAntidotersNoActivated,rescued,flee,humans,zombies,pursued,halfRescued,killed,humansDynamic,zombiesDynamic,rescuedDynamic,killedDynamic,zombifiedDynamic,fleeDynamic,pursueDynamic,humansGoneDynamic,zombiesGoneDynamic
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,250,4,0,0,0,0,0,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,247,7,0,0,3,42,61,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,244,10,0,0,3,58,87,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,230,13,11,0,3,78,116,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,207,17,19,0,4,76,153,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,183,16,23,2,1,61,166,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,164,16,18,1,1,55,157,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,145,15,19,1,0,32,158,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,125,16,19,0,1,18,129,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,99,14,26,2,0,4,84,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,79,14,20,0,0,2,118,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,65,15,13,0,1,19,119,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,54,16,10,0,1,27,136,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,43,14,11,2,0,21,142,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,41,12,2,2,0,21,129,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,37,13,3,0,1,13,126,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,37,13,0,0,0,23,130,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,34,13,2,1,1,21,129,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,33,11,1,2,0,11,111,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,30,10,3,1,0,8,98,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,27,8,3,2,0,3,83,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,26,6,1,2,0,0,57,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,23,6,3,0,0,0,37,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,21,5,2,1,0,0,29,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,21,4,0,1,0,1,26,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,19,4,2,0,0,0,19,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,19,3,0,1,0,0,33,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,19,3,0,0,0,0,15,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,19,3,0,0,0,0,12,0,0
-3363360416465417637,1000,250,4,20,4,1.0,0.6,1.0,20,0,4,16,214,598,16,0,2838,79,24,19,3,0,0,0,0,20,0,0
