seedArray,stepsArray,humanSizeArray,zombiesSizeArray,redCrossSizeArray,redCrossActivationDelayArray,redCrossEfficiencyProbabilityArray,redCrossExhaustionProbabilityArray,redCrossInformProbabilityArray,zombifiedArray,zombifiedAntidotersActivatedArray,zombifiedAntidotersNoActivatedArray,zombifiedNoAntidotersNoActivatedArray,rescuedArray,fleeArray,humansArray,zombiesArray,pursuedArray,halfRescuedArray,killedArray
12,1000,220,4,15,4,1.0,0.6,1.0,21,0,1,20,185,573,14,0,3579,87,25
13,1000,225,6,20,4,1.0,0.6,1.0,54,0,3,51,154,1302,17,2,8861,82,58
14,1000,228,2,17,4,1.0,0.6,1.0,128,0,3,125,86,3093,14,0,20650,212,130
15,1000,230,2,12,4,1.0,0.6,1.0,15,0,1,14,204,503,11,0,2125,97,17
16,1000,234,1,10,4,1.0,0.6,1.0,61,0,2,59,165,1172,8,11,9748,129,51
17,1000,235,3,18,4,1.0,0.6,1.0,29,0,2,27,190,500,16,0,5201,69,32
18,1000,240,5,10,4,1.0,0.6,1.0,14,0,1,13,217,449,9,0,2595,155,19
19,1000,243,2,14,4,1.0,0.6,1.0,74,0,1,73,156,1214,13,1,11740,119,75
20,1000,245,3,16,4,1.0,0.6,1.0,21,0,3,18,211,865,13,0,3570,100,24
21,1000,250,4,19,4,1.0,0.6,1.0,66,0,1,65,166,1893,18,0,11094,79,70
22,1000,255,2,20,4,1.0,0.6,1.0,8,0,6,2,233,180,14,0,1579,131,10
23,1000,260,3,20,4,1.0,0.6,1.0,47,0,0,47,193,1516,20,0,6633,109,50
24,1000,262,5,12,4,1.0,0.6,1.0,135,0,0,135,115,3417,12,0,23335,63,140
25,1000,265,4,15,4,1.0,0.6,1.0,126,0,3,123,127,3489,12,2,25368,71,128
26,1000,270,6,18,4,1.0,0.6,1.0,102,0,4,98,154,2957,14,0,16617,64,108
