rescuedDynamic0,rescuedDynamic1,rescuedDynamic2,rescuedDynamic3,rescuedDynamic4,rescuedDynamic5,rescuedDynamic6,rescuedDynamic7,rescuedDynamic8,rescuedDynamic9,rescuedDynamic10,rescuedDynamic11,rescuedDynamic12,rescuedDynamic13,rescuedDynamic14,rescuedDynamic15,rescuedDynamic16,rescuedDynamic17,rescuedDynamic18,rescuedDynamic19,rescuedDynamic20,rescuedDynamic21,rescuedDynamic22,rescuedDynamic23,rescuedDynamic24,rescuedDynamic25
21,31,48,32,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40,40,31,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,70,47,28,8,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,50,28,26,12,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,48,22,20,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,46,51,41,17,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,56,30,33,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,52,49,34,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,61,59,33,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,52,66,23,12,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,46,32,22,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,71,50,15,14,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,51,54,22,11,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,63,35,17,8,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,67,36,15,10,7,8,3,3,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
