evolution$generation,p1,p2,p3,oppPeakSize,finalZombies,evolution$samples
2960,15.06147318308964,6.928285068555665,25.11057819715575,-55.0,247.0,1
2960,20.0,7.854469973836281,16.1897681847852,-3.0,17.0,1
2960,20.0,3.2854673971276074,21.201076488042304,-21.0,91.0,1
2960,19.96826300654466,3.7648867715266032,24.47691974449063,-53.0,244.0,1
2960,16.857278307207782,10.0,16.549702082061415,-31.0,112.0,1
2960,10.520186797900315,9.560870253749107,22.296478027988208,-9.5,161.0,4
2960,15.947192645328574,7.592587110927207,20.280272401413193,-33.0,239.0,2
2960,19.989252884726593,1.0,20.594360786142097,-9.5,126.0,2
2960,20.0,6.884021261093317,14.776548454103438,-19.0,175.0,3
2960,7.048955816333516,9.486220761346148,25.25765486805496,-10.0,44.0,1
2960,18.347381957402543,10.0,13.632716470501503,-20.0,80.0,1
2960,18.548580034192724,6.258326282350611,18.710272111524787,-5.0,26.0,1
2960,19.55664731038928,5.630364097051959,21.290147924150535,-18.0,226.0,22
2960,15.792556447264221,7.745737697139037,20.98688511141928,-15.0,144.0,2
2960,18.107679765599613,8.545646647058396,14.373166365282543,-12.0,166.0,7
2960,19.97033721274559,3.2472892768306565,23.898608275737622,-37.0,155.0,1
2960,20.0,5.635766574909446,18.92741789850059,-8.0,40.0,1
2960,14.17240128472974,1.0214221865973887,24.861521907510074,-13.0,138.0,2
2960,17.845695310035378,9.4500890627869,15.130494875018902,-7.0,87.5,2
2960,20.0,6.572823505512186,16.55156669292968,-14.0,192.5,26
2960,20.0,3.37854743432031,21.31019018687729,-8.5,109.5,2
2960,11.31129421101139,1.0,27.33831946556854,-30.5,222.0,2
2960,20.0,7.287891358871581,17.468399981721255,-15.5,145.5,2
2960,11.39832585299377,9.326692494581753,20.44925808712569,-12.0,46.0,1
2960,19.881660026296846,8.692273544682863,16.462990688211942,-20.0,202.0,3
2960,17.119531740822115,7.723846217864905,17.542152573417432,-15.0,217.5,24
2960,19.999669092171697,6.531631459290506,20.42982301242474,-17.0,220.5,64
2960,18.148471952479657,8.564237622062798,14.694659035558692,-20.0,147.0,2
2960,19.861468218369087,7.315680927017395,16.561234978725523,-14.0,188.0,17
2960,12.107536760163834,9.59086503637464,18.863969613137023,-31.0,231.0,2
2960,18.99509289916262,6.230847801073186,17.506466954440477,-50.0,156.0,1
2960,14.203289835178913,6.07262043598566,21.192793549381406,-7.5,107.5,2
2960,18.495315260746093,6.618870744801312,18.974174988545872,-14.0,50.0,1
2960,19.405175724566295,6.443761575788425,17.347431013444744,-36.0,133.0,1
2960,19.912947202133367,6.124915472717546,17.715690492414193,-28.5,189.5,2
2960,20.0,5.945010189878075,20.269650417279568,-24.0,97.0,1
2960,20.0,7.700002633727619,15.995671519784317,-13.0,208.0,71
2960,19.727064147116653,4.863611120720977,17.42704791661341,-14.0,214.0,100
2960,19.957088768543862,6.127895799025186,16.35999556048159,-12.0,199.5,28
2960,13.811191455870443,9.965473413753935,18.26052588288742,-15.5,205.5,20
2960,20.0,1.0095611263895943,20.341005470686955,-12.0,208.0,99
2960,14.589966501639319,9.861786136639648,18.29674383259037,-20.0,217.0,11
2960,12.9883385629394,3.5247276551295914,24.587483855822967,-21.0,184.5,2
2960,14.811610551556308,1.0,27.250006604281293,-22.5,248.0,4
2960,13.68078296531326,1.3946017350002053,24.350446544624436,-10.0,133.0,3
2960,20.0,6.7770418366498,16.427521528517445,-17.0,201.0,10
2960,19.83834779836508,2.6067981057316754,20.277092554088547,-12.0,207.0,41
2960,7.190265752265206,9.842061001640085,25.51244716308593,-16.0,246.0,100
2960,17.23874435048716,1.847437622944483,21.940272273199344,-17.0,63.0,1
2960,18.134058678701297,8.554073117086705,14.729052603672452,-51.0,230.0,1
2960,18.070886061846785,8.867427546363011,16.961822671520117,-26.0,108.0,1
2960,17.42913503786113,9.294179454781409,16.500857312089533,-15.0,233.0,100
2960,19.776353554061778,8.279879884341646,15.133628153751307,-6.0,37.0,1
