evolution$generation,p1,p2,p3,oppPeakSize,finalZombies,evolution$samples
4977,0.2445494739913182,7.05113579944157,1.0,-31.0,235.0,1
4977,0.3843905586313775,5.986064087645456,1.642507632614362,-2.0,8.0,1
4977,0.17259649260675453,1.0,2.624210987844758,-17.5,134.0,2
4977,0.11268073884987773,5.059835336540307,2.876195353541811,-25.0,138.0,1
4977,0.3589424333446041,3.1034028518751846,1.056340350638324,-20.5,221.0,2
4977,0.3044762044858201,10.40288569482055,1.0,-30.0,232.0,1
4977,0.15751871004867038,8.934936860319624,1.2947384228950927,-26.0,185.0,1
4977,0.10947790619651987,1.0,2.6256977151319423,-9.0,117.0,61
4977,0.15339013310750294,1.4233001459768344,2.732470584415511,-4.0,59.0,40
4977,0.3861783491415186,7.245956752267715,1.380611753715479,-10.5,180.0,14
4977,0.22598145161318783,10.357529885391788,1.4910382839908791,-10.0,177.0,18
4977,0.1,1.5990062906570688,2.655528549896226,-8.5,91.0,4
4977,0.1237082629790168,1.0,2.678797876401319,-5.0,54.0,5
4977,0.22692956244921833,1.0,2.9439335833856113,-10.5,48.5,2
4977,0.14299221106437077,1.4823523872648772,2.1931164271654966,-14.0,45.0,1
4977,0.16502759414841256,1.0,2.168661635327591,-4.0,51.0,6
4977,0.14502039554281546,1.3934576902740232,2.1872589679144725,-7.0,73.5,38
4977,0.1,1.0,3.440222330854197,-13.5,107.0,2
4977,0.12293703361618924,12.124115004523807,1.3849684681678878,-15.0,172.0,4
4977,0.415995219417047,8.40250548386236,1.961702942120327,-12.0,188.0,21
4977,0.15068351670276722,1.0199302816556766,2.850293157745898,-10.0,33.0,1
4977,0.1,1.0188790305362765,2.7116189712415286,-7.0,21.0,1
4977,0.19027597600992313,1.0,2.730159092552119,-3.5,25.5,2
4977,0.2248845529356681,7.439931734686025,1.1889181657919734,-11.0,182.5,100
4977,0.3940262155068117,6.867380833403205,1.3811685574348977,-28.0,202.0,1
4977,0.14402599915727748,11.746248048029207,1.1279042180041732,-12.0,183.0,5
4977,0.1,1.1561633722598121,3.389251825799712,-20.0,102.0,1
4977,0.11070575350143125,1.581304119742093,3.612204192609346,-6.0,40.0,3
4977,0.11268630013596821,1.8762234862870648,2.8938659428443514,-7.0,98.0,100
4977,0.14987831565282747,1.0,2.3208203516639823,-6.0,75.0,100
4977,0.1,1.0,3.564285186510321,-5.5,63.5,30
4977,0.10436231817477151,1.0,2.668196479685897,-16.0,249.0,3
4977,0.1612571339097841,1.0,2.1355194104993838,-9.0,41.5,2
4977,0.10012892478243768,13.084328928187132,1.0006726912690236,-24.0,122.0,1
4977,0.1,13.866200126428124,1.3827830596663613,-6.0,18.0,1
4977,0.16410852686856145,1.0,2.261694532553202,-5.0,28.0,3
4977,0.2258617060238022,8.269306668170904,1.0724739278518636,-3.0,10.0,1
4977,0.3727678684306911,9.533699252619826,1.0306667923243775,-8.0,29.0,1
4977,0.10781512400985266,9.737822386065988,1.1303964178652155,-12.0,195.5,38
4977,0.10467067035432767,1.141454379324454,2.810884584168246,-11.5,99.5,6
4977,0.14636772214856827,1.0,2.51259058732065,-7.0,95.0,61
4977,0.3791776282616526,9.556103557327077,1.022891944232837,-14.0,189.0,34
4977,0.13664879860941478,1.0,3.874290651810284,-5.0,62.0,59
4977,0.1,1.000668638636497,3.464652836585463,-5.0,55.0,6
4977,0.24404524041247364,1.96703489630764,2.1206577027354285,-13.0,36.0,1
4977,0.10055874251341014,12.407916648323292,1.0229502306277212,-19.0,202.0,2
4977,0.13371132159238616,1.0466516665049412,2.307150931867664,-7.0,69.0,3
4977,0.15166290831496643,1.0148989193916893,2.82166083657198,-6.0,64.0,23
4977,0.1206996646171552,1.0,3.6012584992507657,-4.0,66.5,100
4977,0.16233818746958806,1.0391963863247808,2.1299157208402995,-16.5,120.0,2
4977,0.14199395271701146,1.0,2.930448901969734,-11.5,68.5,2
4977,0.10012886325461676,1.0,3.8131758433028704,-4.0,58.0,20
4977,0.3888678402013577,9.968163762864927,1.0,-10.0,178.0,33
4977,0.1,1.2495605341376577,3.6474991743574225,-5.0,66.5,94
4977,0.4043592587004611,10.744408272459346,1.5642627031175773,-5.0,12.0,1
4977,0.10110949973245657,1.1909613692337258,2.612506628754775,-18.0,58.0,1
4977,0.1,1.0004821251336895,3.6324517920133728,-19.0,73.0,1
4977,0.1595147869175455,1.3437039964363466,2.0179553749551418,-7.0,30.0,2
4977,0.1,1.000680023784724,3.455476085049258,-5.0,68.5,100
4977,0.16285447879606377,1.0,2.136849195428799,-6.0,59.0,7
4977,0.11041128878217524,1.4902167943235543,3.6700804807318845,-11.0,62.0,2
4977,0.14566853033737898,1.512629305246228,2.155208376220485,-10.0,94.0,15
4977,0.10702922311623955,1.000180157769192,2.384749628125168,-9.0,30.0,1
4977,0.1,2.1192992935460944,2.813078636234138,-7.0,21.0,1
4977,0.1,1.0,2.813490317553908,-11.0,34.0,1
