runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
0.0,0.0,0.0,4.0,0.0,4.0,250.0,0.0,250.0,0.0,0.0,0.0
24.626,5.439680505323814,24.5,5.816,1.3550439107276187,6.0,223.544,5.611779040553895,224.0,0.0,0.0,0.0
44.77,9.241163346678814,45.0,6.318,1.617057822095425,6.0,202.891,9.431708169785582,203.0,0.0,0.0,0.0
66.564,12.919826005020353,67.0,6.491,1.6893546104947945,6.0,180.923,13.055384751128555,181.0,0.0,0.0,0.0
89.959,16.15844420109807,91.0,6.607,1.737397766776514,6.0,157.412,16.220180516874667,157.0,0.0,0.0,0.0
112.721,18.636876320885964,114.0,6.741,1.7960843521394059,7.0,134.514,18.632332221168678,133.0,0.0,0.0,0.0
132.702,19.73015955333356,135.0,6.899,1.8511615272579514,7.0,114.372,19.6954211937699,112.0,0.0,0.0,0.0
149.031,19.249936077815956,152.0,7.098,1.9283142897359904,7.0,97.839,19.217363997177134,95.0,0.0,0.0,0.0
161.8,17.59460144476144,165.0,7.373,2.045940126201153,7.0,84.793,17.52176221160419,82.0,0.0,0.0,0.0
170.508,15.026175028928696,173.0,7.682,2.1663046877113086,7.0,75.773,14.914471864601838,73.0,0.0,0.0,0.0
175.917,12.559064893534075,178.0,8.02,2.289454083400657,8.0,70.024,12.446422136501738,68.0,0.0,0.0,0.0
178.606,10.173729109820053,180.0,8.351,2.388262757738351,8.0,66.999,10.063150550399216,66.0,0.002,0.044676615807377244,0.0
178.919,8.724358944931131,179.5,8.754,2.5580234557173194,8.0,66.278,8.578619702492935,66.0,0.003,0.0706470098447204,0.0
177.637,8.031016809844184,178.0,9.195,2.705730030878912,9.0,67.113,7.810392499740344,67.0,0.005,0.11390785749894879,0.0
175.09,7.8745095085344765,175.0,9.714,2.904170105210786,9.0,69.136,7.641956817465017,70.0,0.002,0.06321392251711652,0.0
171.777,7.830662232531807,172.0,10.241,3.111417522609261,10.0,71.904,7.600972569349266,72.0,0.012,0.2045873896407089,0.0
168.611,7.895294738006931,169.0,10.81,3.348118874831053,10.0,74.496,7.752288952303048,74.0,0.013,0.2843079316515804,0.0
165.22,8.100222219173983,165.0,11.388,3.5647518847740316,11.0,77.302,8.032110308007475,77.0,0.013,0.3237761572444761,0.0
161.75,8.181289629392177,162.0,12.081,3.7839713265298363,12.0,80.063,8.1287779524354,80.0,0.02,0.38157568056678015,0.0
158.461,8.052979510715277,158.0,12.775,4.023726506610498,12.0,82.642,7.997989497367459,83.0,0.026,0.47887785499018315,0.0
155.342,7.986428237954687,155.0,13.625,4.293527104840495,13.0,84.904,7.952910410660991,85.0,0.025,0.4293891009329541,0.0
152.398,8.131887603748584,153.0,14.498,4.627309801601792,14.0,86.953,8.140564538163185,87.0,0.037,0.6193795282377439,0.0
149.721,8.118445602453699,150.0,15.357,4.946064192870907,15.0,88.751,8.133326441253914,89.0,0.046,0.856670298306181,0.0
147.253,8.18919965564401,147.0,16.321,5.270100473425529,16.0,90.249,8.114000184865656,90.0,0.042,0.8463072728034313,0.0
145.085,8.31118373037199,145.0,17.345,5.639678625595608,17.0,91.375,8.263799065805024,91.0,0.044,0.8485658489475053,0.0
142.783,8.17507865405587,143.0,18.422,5.980293972707355,18.0,92.565,8.296973845927202,93.0,0.062,0.9011969817969663,0.0
140.649,8.046228868233857,140.5,19.524,6.298049221782876,19.0,93.566,8.11268414274831,93.0,0.066,0.921761357402244,0.0
138.667,8.383204101058267,139.0,20.746,6.759547617999309,20.0,94.3,8.509524075998597,94.0,0.077,0.9711184273815604,0.0
136.869,8.385454012753293,137.0,21.973,7.215834740347098,21.0,94.844,8.706644818757685,95.0,0.083,1.00404730964233,0.0
135.145,8.365642533601353,135.0,23.339,7.700784310704994,22.0,95.181,8.797854227026038,95.0,0.088,0.9210081432864762,0.0
133.398,8.543043719892804,133.5,24.724,8.187174359936398,24.0,95.509,9.035259763836331,96.0,0.1,0.9241212041718293,0.0
131.762,8.706052836963481,132.0,26.163,8.631131501720969,25.0,95.7,9.254080181195734,95.0,0.089,0.7570198148001199,0.0
130.127,8.904317548245908,130.0,27.639,9.094980978539764,27.0,95.84,9.489910431611033,96.0,0.087,0.7010213976762723,0.0
