runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
0.0,0.0,0.0,4.0,0.0,4.0,-2502977899859957212,250.0,0.0,250.0,0.0,0.0,0.0
23.98,5.116600433881855,23.5,5.84,1.3763720427268205,6.0,3556550090682808617,224.16,5.094546103432573,224.0,0.0,0.0,0.0
42.89,8.353316706554349,43.0,6.44,1.6989408465276246,6.0,1454761905748015609,204.64,8.401809328948142,204.0,0.0,0.0,0.0
65.16,11.923690703804759,64.0,6.62,1.6839239887833415,7.0,2317669180639323207,182.19,11.898483096596811,182.0,0.0,0.0,0.0
87.8,15.157176518072225,88.5,6.77,1.7484564621402499,7.0,8065150925517098222,159.4,15.060544478869284,159.0,0.0,0.0,0.0
109.5,17.6683332547244,109.0,6.9,1.7578395831246947,7.0,388097464118944440,137.57,17.538104230503365,136.5,0.0,0.0,0.0
130.02,19.270173844571307,132.0,7.04,1.777188791321845,7.0,-4345816012334737509,116.91,19.166165500694188,115.0,0.0,0.0,0.0
146.72,19.505937557574615,151.0,7.24,1.8979989462589273,7.0,-440749653607008722,100.0,19.426270872197783,95.5,0.0,0.0,0.0
159.93,18.81449175502756,163.0,7.47,2.041837407826588,8.0,-6722661951110090265,86.55,18.86816101266893,84.0,0.0,0.0,0.0
169.77,17.174315124627245,174.0,7.85,2.268810260907686,8.0,-5170557131535043541,76.33,17.122531938939407,72.0,0.0,0.0,0.0
175.38,15.341303725563874,179.5,8.14,2.3580500418778234,8.0,2850123991903693089,70.42,15.126255319807344,66.0,0.0,0.0,0.0
177.71,12.50783354542264,181.5,8.44,2.523172606065625,8.0,-1969075608849572549,67.79,12.281933886811151,65.0,0.0,0.0,0.0
177.65,10.501785562465079,179.5,8.78,2.5983841132519263,8.5,6181734089145186311,67.51,10.276667747864579,66.0,0.0,0.0,0.0
177.09,8.840921897630361,178.0,9.21,2.7469801601030905,9.0,-5642436476029993808,67.63,8.838161573540058,66.5,0.01,0.09949874371066196,0.0
174.57,7.831034414430831,174.0,9.77,2.992841459215639,10.0,-2026386935088380534,69.59,7.87158814979544,69.5,0.01,0.09949874371066196,0.0
171.36,7.714298412687964,171.0,10.17,3.1402388444193226,10.0,1594873427995473012,72.38,7.758582344732834,73.0,0.03,0.2984962311319857,0.0
168.29,7.087023352578995,168.0,10.8,3.2588341473600657,11.0,914707957448442833,74.82,7.42479629350193,75.0,0.03,0.2984962311319857,0.0
