runningHumansAvg,runningHumansMSE,runningHumansMed,runningZombiesAvg,runningZombiesMSE,runningZombiesMed,seed,walkingHumansAvg,walkingHumansMSE,walkingHumansMed,walkingZombiesAvg,walkingZombiesMSE,walkingZombiesMed
0.0,0.0,0.0,4.0,0.0,4.0,-5631289828205254916,250.0,0.0,250.0,0.0,0.0,0.0
24.0,5.506359959174482,24.0,5.79,1.4442645187083973,6.0,-1021303879075978939,224.19,5.364130870886726,224.0,0.0,0.0,0.0
43.98,9.131243069812566,44.0,6.48,1.9363883907935404,6.0,-7407580011956864920,203.52,9.254706910540174,202.5,0.0,0.0,0.0
66.04,13.309335069792178,67.0,6.62,2.0088802851339853,6.0,-2319222703997304928,181.32,13.672512570848125,181.0,0.0,0.0,0.0
89.94,16.570950485714448,92.0,6.75,2.0316249653910043,6.0,-6261991121347964999,157.29,16.978395094943455,156.0,0.0,0.0,0.0
113.28,18.381011941675027,114.5,7.0,2.1260291625469296,7.0,8698688740757486724,133.7,18.721912295489474,132.0,0.0,0.0,0.0
132.6,18.110218110227166,135.0,7.09,2.1028314245321718,7.0,-3935943836233383510,114.29,18.461470688978167,112.5,0.0,0.0,0.0
148.77,17.696245364483392,152.0,7.3,2.1470910553583886,7.0,8411897495355991115,97.89,18.10518986368273,95.0,0.01,0.09949874371066196,0.0
161.14,15.672919319641764,163.0,7.48,2.2912005586591486,7.0,5473645095585670402,85.33,16.120828142499384,83.0,0.02,0.19899748742132392,0.0
169.81,13.85041154623212,172.5,7.75,2.3510635891017495,7.5,-4616617972551930858,76.41,14.246469738149166,75.0,0.0,0.0,0.0
174.95,12.125489680833516,176.0,8.15,2.507488783623966,8.0,6544087280562207769,70.87,12.356904952292869,69.0,0.0,0.0,0.0
177.72,10.483396396206718,179.0,8.57,2.616314201314514,8.0,-9116344994738960380,67.67,10.59533387864677,66.0,0.0,0.0,0.0
178.29,9.529212979045017,179.0,8.9,2.7367864366808012,8.0,-6539996926883534302,66.77,9.64868384806964,64.5,0.0,0.0,0.0
176.58,8.385916765625568,177.0,9.3,2.924038303442689,9.0,8767939428208502025,68.07,8.642054153961311,67.0,0.0,0.0,0.0
174.88,7.5409283248151855,174.5,9.73,3.28589409445892,9.0,255880087165278708,69.32,7.859872772507201,68.0,0.02,0.19899748742132392,0.0
171.74,7.867172300134272,172.0,10.25,3.5703641270884403,10.0,-3476069455915929163,71.95,7.996718076811262,72.5,0.0,0.0,0.0
168.89,8.460372332232193,168.0,10.88,3.9096802938347803,10.0,8804582875937833162,74.17,8.28016304187303,75.0,0.0,0.0,0.0
165.87,9.567293243127859,166.0,11.33,4.096474093656642,11.0,-4966097465457820382,76.74,9.080330390464878,77.0,0.0,0.0,0.0
161.79,9.848141956734784,162.0,12.04,4.381597882051706,12.0,-8107223551959764635,80.1,9.358952932887313,81.0,0.0,0.0,0.0
158.27,9.767143901878379,158.0,12.71,4.654664327317277,12.0,-4056492288454404555,82.94,9.363567696129506,83.0,0.0,0.0,0.0
155.47,10.031405684150153,156.0,13.41,4.970100602603531,12.0,4130603698763072405,85.04,9.540356387473164,84.5,0.0,0.0,0.0
152.81,9.806829253127637,154.0,14.15,5.374709294464214,13.0,-4496374182688594109,86.95,9.12619855142326,86.0,0.0,0.0,0.0
150.14,9.10057141063131,150.5,14.87,5.703779448751504,13.5,4722968920775119022,88.89,8.590570411794552,90.0,0.0,0.0,0.0
147.59,8.769372839604893,148.0,15.84,6.11018821314041,15.0,-6038845046340859296,90.47,8.48817412639491,91.0,0.0,0.0,0.0
145.07,8.742145045696734,145.0,17.05,6.651879433663843,16.0,-9220142178945859480,91.76,8.63958332328591,93.0,0.0,0.0,0.0
143.07,8.760428071732568,143.0,18.08,7.131171011832487,17.0,3237368283851359836,92.7,8.546929273136639,94.0,0.02,0.19899748742132392,0.0
141.48,9.107667099757217,141.5,19.12,7.540928324815188,17.5,-6479721536954721470,93.23,8.65777685090116,94.0,0.02,0.19899748742132392,0.0
139.29,9.327695320924672,140.0,20.3,8.258934555982387,18.5,-4200956038709624190,94.25,8.807241338807515,96.0,0.0,0.0,0.0
136.86,9.514220935000402,137.5,21.6,8.583705493549974,20.0,-142159003605011272,95.37,8.61121942584208,96.0,0.0,0.0,0.0
135.08,9.832273389201502,136.0,22.87,8.984046972272575,20.5,9205428653874866998,95.85,8.586471918081374,97.0,0.03,0.2984962311319855,0.0
133.63,10.354375886551543,135.0,24.37,9.534836128639025,21.5,6547696301994790831,95.75,8.349101748092426,97.0,0.05,0.40926763859362286,0.0
132.32,9.873074495819427,133.0,25.79,10.103756727079292,23.5,-3963173142102185277,95.62,8.268953984634333,95.5,0.07,0.6964912059746334,0.0
130.45,9.912996519720968,131.0,27.19,10.81822074095366,25.0,-758385126014601949,96.04,8.323364704252722,96.5,0.12,0.8863407922464136,0.0
128.89,9.982880345872127,129.5,28.74,11.078465597726069,26.5,-7345033231196929462,96.02,8.541639186947666,95.5,0.12,0.7386474125047767,0.0
127.85,9.92005544339345,128.0,30.01,11.438089875499315,27.5,4101866032357608921,95.76,8.419168605034587,95.0,0.12,0.6968500556073743,0.0
125.95,9.97534460557629,125.5,31.77,12.265280265856138,30.0,7098264721420224316,95.85,8.270882661481783,96.0,0.12,0.6968500556073743,0.0
124.55,9.754358000401666,124.5,33.55,12.722715905025941,32.0,1917406540419158155,95.38,8.816779457375578,96.0,0.19,1.36157996459995,0.0
123.07,9.72137335976764,123.5,35.45,13.495462200310147,32.5,-4339213996460520059,94.95,9.048066091712636,95.5,0.16,1.3245376551838757,0.0
121.73,9.730215824944482,123.0,37.3,14.600342461736988,34.5,1047303624763731095,94.41,9.441498821691395,95.0,0.11,0.9989494481704271,0.0
120.6,9.941830817309256,122.0,39.26,15.471664422420753,36.0,6159727183510116443,93.5,9.952386648437649,93.0,0.18,1.4991997865528128,0.0
119.84,10.235936693825336,121.0,41.13,16.16703745279264,38.0,8428398111586641272,92.29,10.981161140790167,93.0,0.26,1.6948156241904313,0.0
118.38,11.275442341655603,119.0,42.94,17.574310797297283,40.0,5208590926457921470,91.81,11.339925043843985,93.0,0.33,2.010248740827861,0.0
117.64,11.845269097829732,119.0,45.2,18.258148865643527,42.0,2320948478102363277,90.11,11.188292988655597,90.0,0.44,2.2641554716935848,0.0
116.06,11.944722684097774,116.0,47.59,19.153117239760217,46.0,6211483842528977939,88.98,12.233544049048094,90.0,0.72,3.8420827684993974,0.0
114.01,12.152773346030937,115.0,50.03,19.995727043546086,48.0,-450492416406806175,88.32,12.991443337828173,88.0,0.93,5.044313630217693,0.0
112.45,12.836958362478242,113.0,53.02,21.313366697919875,51.5,8810519211751856419,86.7,13.5988970140964,87.5,1.05,5.850427334819226,0.0
110.58,13.521227754904508,111.0,55.87,22.475166295269094,54.0,3692244325530745413,85.32,13.997771251167093,85.5,1.42,7.0173784278746165,0.0
108.8,14.124446891825537,110.0,58.83,23.9549806929582,55.5,-6770144537439207133,83.85,14.421078323065858,84.0,1.59,7.82827567220266,0.0
107.54,14.396819093119149,109.0,62.21,25.12261729995503,58.0,-3001224187960571302,81.95,15.269823181687475,83.0,1.3,7.579577824654878,0.0
106.53,14.46613631900377,107.5,65.28,25.977713525250834,61.5,-6157187495430625369,80.02,15.659489135983973,81.0,1.1,6.77421582177598,0.0
105.54,14.55776081682894,105.5,67.84,26.449846880464165,64.0,3714568715995031089,78.52,15.920100502195332,79.0,1.0,6.6332495807108,0.0
104.77,15.008567553234384,105.5,70.47,26.548617666462416,67.5,-6639641763831081539,76.34,16.030732983865715,77.0,1.24,6.718809418341912,0.0
103.91,15.38641933654481,105.0,73.22,27.09781541010271,71.0,5275836583586530677,74.3,15.982177573785119,75.0,1.35,6.507495678062338,0.0
101.91,15.290582068711446,103.5,76.39,27.442629247213183,75.5,-5185430920522328132,73.09,16.272734865412147,73.5,1.36,5.9523440760762485,0.0
100.28,15.638465397857937,101.0,80.06,28.091571689743525,81.0,-1123036085530395197,71.33,16.62651797581201,70.5,1.05,4.0407301320429685,0.0
98.57,16.46101758701448,98.5,83.16,28.60759339755793,85.0,-2079888456680076824,69.37,17.130472848114852,67.0,1.53,4.680715757232005,0.0
96.69,16.942665079614837,97.0,86.87,30.096396794300805,87.0,-990552311780439019,67.6,17.72399503498012,67.0,1.41,4.510199552126269,0.0
95.25,17.215908340834066,96.0,89.67,30.539828093818734,90.5,-8403154805012538717,65.97,18.138607995102603,66.0,1.63,4.967202431953019,0.0
93.79,17.551236423682518,94.5,92.78,30.921701117499993,95.0,-91828720953869336,64.16,17.965366681479118,63.5,1.76,5.136380048244096,0.0
91.81,17.674102523183464,90.5,96.46,31.406502511422694,99.5,6883466389071471657,62.57,18.027897825315076,62.5,1.6,4.599999999999998,0.0
90.47,18.233735217996337,90.5,99.72,31.785241858447453,102.0,-77301265863555168,60.34,18.046174109766316,59.0,1.84,5.611987170334589,0.0
88.8,18.908199279677586,88.0,103.35,32.47379712937802,106.5,-2444521030236916355,58.39,17.924784517533258,57.0,1.78,5.088378916708151,0.0
86.95,19.336170768794936,88.5,105.82,32.638743848377494,109.0,5966774317038557579,57.27,17.788678984117958,55.0,2.21,5.515967730144913,0.0
85.26,20.080647399922146,86.5,109.34,33.675872668722334,110.5,-8138186361733842728,55.46,18.057917930924372,53.0,2.08,5.498508888780664,0.0
83.51,20.276338426846205,85.5,112.56,33.65540669788437,112.5,-9107362518050196451,53.43,18.12195077799297,52.0,2.59,6.015139233633743,0.0
81.94,20.619806012666555,81.5,115.54,34.00188818286419,113.5,2566818101940506283,51.49,18.06681765004562,50.0,3.02,6.9006956171099105,0.0
80.13,20.99745460764232,80.5,118.24,33.75977488076602,118.0,6360999302272585086,50.08,17.624800708093126,48.0,3.47,7.605859583242382,0.0
77.53,20.97162606952546,78.0,121.64,33.844207776220735,120.0,-1825054220208253132,48.46,17.81876538933043,46.5,4.2,9.511046209539728,0.0
75.12,20.953892239867983,76.0,125.51,34.18405915042858,123.5,5195235898361054846,46.71,17.70214393795283,46.0,4.33,9.525812301321078,0.0
72.95,21.710538915466838,74.5,129.43,34.580704157087375,129.0,-5344857728517994378,45.06,17.47559441049145,43.0,4.17,9.034439661650298,0.0
70.77,21.558225808261682,70.0,132.48,34.94838479815627,133.5,-3528254416243711782,43.49,17.451358113338916,42.0,4.81,9.436837393957784,0.0
68.34,21.790006883890605,68.0,135.16,35.03533073912675,138.5,5389914960535947133,42.16,17.151513052789248,39.0,5.84,10.822864685470295,0.0
